Net Value Per Share (B),Total debt/Total net worth,Debt ratio %,Net worth/Assets,Total Asset Turnover,Quick Assets/Total Assets,Current Assets/Total Assets,Quick Assets/Current Liability,Current Liability to Assets,Working Capital/Equity,Long-term Liability to Current Assets,Total expense/Assets,Working capitcal Turnover Rate,Cash Flow to Sales,Current Liability to Liability,Cash Flow to Equity,Current Liability to Current Assets,Liability-Assets Flag,Net Income to Total Assets,Net Income Flag,Equity to Liability,Bankrupt?,Operating Expense Rate,Total income/Total expense
0.182925,0.00493256,0.103577,0.896423,0.0764618,0.0599006,0.101745,0.00362604,0.0320868,0.731959,0.0641265,0.0288024,0.593916,0.671572,0.283194,0.314569,0.0471663,0,0.814111,1,0.0365717,0,0.000318116,0.00233766
0.173865,0.0042924,0.0943858,0.905614,0.0629685,0.140018,0.218943,0.00541568,0.0479948,0.733045,0.0178464,0.0569523,0.593944,0.671574,0.471028,0.314791,0.0337116,0,0.804887,1,0.040381,0,0.000476654,0.00225675
0.169399,0.00873435,0.144662,0.855338,0.124438,0.215492,0.34094,0.00408938,0.0956719,0.732682,0.00951318,0.0289816,0.593923,0.671563,0.624506,0.312179,0.043514,0,0.80326,1,0.0252817,0,0.00015715,0.00227305
0.171548,0.00515507,0.10657,0.89343,0.145427,0.248974,0.371121,0.00659077,0.0691662,0.734591,0.00478662,0.0244836,0.593944,0.67158,0.607049,0.316477,0.0289017,0,0.794158,1,0.0354641,0,0.000113786,0.00221748
0.180566,0.00398326,0.0896393,0.910361,0.101949,0.203548,0.274143,0.0136032,0.027638,0.734996,0.022682,0.0119415,0.593971,0.671555,0.280611,0.311872,0.0155531,0,0.819715,1,0.0426464,0,9.37e+09,0.00256982
0.174329,0.00461157,0.0990719,0.900928,0.148426,0.21698,0.320023,0.00747974,0.0533854,0.734495,0.016323,0.0553819,0.593947,0.671572,0.50072,0.314555,0.0258128,0,0.815419,1,0.0383537,0,0.000323782,0.00228999
0.183852,0.00239743,0.0612813,0.938719,0.0194903,0.096144,0.126506,0.00467652,0.0387617,0.731994,0.0174692,0.00767861,0.593923,0.671569,0.576943,0.314487,0.0462912,0,0.810421,1,0.0629402,0,0.000179815,0.00255177
0.189541,0.00332394,0.0787254,0.921275,0.125937,0.23967,0.38052,0.00988507,0.0446374,0.735631,0.0102427,0.0400185,0.593971,0.67157,0.522773,0.314174,0.0181566,0,0.826642,1,0.0488219,0,0.000248734,0.00236095
0.17513,0.00835499,0.141337,0.858663,0.229385,0.22116,0.338068,0.00460747,0.0874131,0.733185,0.0184786,0.0200028,0.593922,0.671573,0.582705,0.314693,0.0400837,0,0.806264,1,0.0259532,0,5.63e+09,0.00231805
0.176478,0.00325372,0.0774859,0.922514,0.118441,0.249597,0.386907,0.00837147,0.0547716,0.735201,0.00177223,0.087296,0.593966,0.671579,0.653828,0.315775,0.0219369,0,0.802552,1,0.0496225,0,0.00061137,0.00224286
0.18912,0.00442463,0.0963509,0.903649,0.053973,0.15705,0.176667,0.0230003,0.0125483,0.734286,0,0.0235295,0.59399,0.671547,0.112002,0.31234,0.0109407,0,0.804639,1,0.039507,0,0.000363099,0.00229305
0.185454,0.00472829,0.100735,0.899265,0.173913,0.488013,0.571438,0.0130115,0.0685261,0.737989,0,0.0334904,0.593974,0.671592,0.635654,0.320216,0.0186129,0,0.814012,1,0.0376801,0,0.000160966,0.00232208
0.176984,0.00895595,0.146507,0.853493,0.125937,0.230241,0.297346,0.00541789,0.0776395,0.73303,0.0234307,0.0567866,0.593925,0.671573,0.497861,0.314851,0.0403948,0,0.808976,1,0.0249146,0,0.000316613,0.00226913
0.1844,0.0170364,0.193034,0.806966,0.0824588,0.387481,0.419118,0.00469036,0.148791,0.729974,0.0102877,0.023057,0.593893,0.671579,0.734714,0.316244,0.0552427,0,0.798104,1,0.0180051,0,0.00017172,0.00224593
0.172896,0.0174112,0.194516,0.805484,0.184408,0.34539,0.456764,0.00422124,0.147143,0.731356,0.0123262,0.0288465,0.593912,0.671573,0.72092,0.314706,0.0501707,0,0.803445,1,0.0178392,0,9.41e+07,0.00227434
0.161308,0.00898421,0.146748,0.853252,0.041979,0.102842,0.149193,0.0043171,0.0446516,0.732119,0.0468582,0.0298788,0.59392,0.671575,0.280214,0.314838,0.0455039,0,0.772909,1,0.0248687,0,0.000335924,0.00209827
0.179217,0.00413828,0.0920579,0.907942,0.109445,0.180029,0.196759,0.00500328,0.0660732,0.731698,0.00979709,0.0531008,0.593911,0.67157,0.669033,0.314185,0.0514814,0,0.812974,1,0.041465,0,0.000398021,0.00228471
0.18263,0.00127577,0.0360976,0.963902,0.148426,0.280569,0.442775,0.0134375,0.0383734,0.736095,0,0.0212036,0.593978,0.671569,0.936615,0.313954,0.0133933,0,0.830176,1,0.104842,0,0.000115752,0.00250565
0.177953,0.0039787,0.0895789,0.910421,0.103448,0.219246,0.407488,0.0081632,0.0494641,0.736007,0.00693294,0.0209512,0.593983,0.671561,0.511607,0.312597,0.0188022,0,0.8121,1,0.0426819,0,0.000125928,0.00236163
0.156209,0.0259514,0.219609,0.780391,0.214393,0.316573,0.46968,0.00282667,0.198285,0.724531,0.00155411,0.0530896,0.593891,0.671567,0.865216,0.309716,0.0658159,0,0.750431,1,0.0153486,1,8.48e+09,0.0020835
0.145506,0.0306924,0.22889,0.77111,0.0644678,0.105994,0.172225,0.00130556,0.141037,0.718088,0.0276777,0.0224017,0.593789,0.671577,0.586269,0.316006,0.124883,0,0.787082,1,0.0145616,1,0.000162469,0.00216238
0.158695,0.0214912,0.208241,0.791759,0.103448,0.227059,0.269993,0.00280385,0.144465,0.724544,0.00422753,0.0553442,0.593863,0.671572,0.660831,0.31425,0.0826661,0,0.796023,1,0.0164039,0,0.000360208,0.00223017
0.177026,0.00597306,0.116849,0.883151,0.22039,0.341626,0.40888,0.00707255,0.0880275,0.7343,0.0085836,0.0261245,0.593932,0.671571,0.708766,0.314051,0.0334418,0,0.814102,1,0.0320857,0,9.04e+09,0.00234864
0.185875,0.00244941,0.0623394,0.937661,0.137931,0.344785,0.380131,0.0100196,0.0629852,0.734507,0,0.0297977,0.593953,0.671564,0.928239,0.312978,0.0256904,0,0.802923,1,0.0618866,0,0.000183746,0.00226994
0.174034,0.00660958,0.124104,0.875896,0.389805,0.48004,0.622632,0.00808405,0.107973,0.737301,0.0028954,0.0407011,0.593935,0.671572,0.821981,0.31461,0.0270098,0,0.803066,1,0.0300236,0,6.19e+09,0.00225982
0.180186,0.00647279,0.122623,0.877377,0.071964,0.0608877,0.0916434,0.00442293,0.0268249,0.7321,0.101679,0.0302373,0.593919,0.671572,0.197134,0.314567,0.04357,0,0.811257,1,0.0304312,0,0.000327251,0.00231643
0.166112,0.00812701,0.139281,0.860719,0.0644678,0.124182,0.218097,0.00341931,0.0668864,0.732034,0.0315335,0.0444451,0.593917,0.671583,0.449343,0.31591,0.0471462,0,0.784385,1,0.0263874,0,0.000435487,0.00218551
0.167502,0.00903984,0.147202,0.852798,0.103448,0.216374,0.336908,0.0059399,0.0667899,0.734719,0.0165314,0.0268857,0.593949,0.671566,0.42441,0.313047,0.0307111,0,0.797744,1,0.0247809,0,0.000166517,0.00224137
0.17218,0.00435897,0.0953835,0.904617,0.146927,0.235862,0.372859,0.0117749,0.0369109,0.736229,0.00995654,0.0227112,0.593964,0.671567,0.35582,0.313143,0.0153036,0,0.798174,1,0.0399352,0,0.000110202,0.00224671
0.17711,0.00340328,0.0800859,0.919914,0.0884558,0.233811,0.282635,0.0135307,0.0318425,0.73478,0.0168206,0.0141524,0.593973,0.671574,0.363595,0.314751,0.01739,0,0.801372,1,0.0479599,0,9.34e+09,0.00229543
0.174877,0.00614541,0.118874,0.881126,0.122939,0.190353,0.279578,0.00564054,0.062032,0.733483,0.0228518,0.0533865,0.593936,0.671573,0.487333,0.314644,0.0342823,0,0.815731,1,0.0314854,0,0.000342053,0.00229324
0.185074,0.00279047,0.0690208,0.930979,0.0194903,0.114648,0.142536,0.00429013,0.0497894,0.731702,0.0137246,0.00931191,0.593893,0.671586,0.663764,0.314937,0.0529895,0,0.811426,1,0.0558578,0,0.000171489,0.00251378
0.186971,0.0037954,0.0866463,0.913354,0.107946,0.246684,0.378632,0.00739998,0.0611604,0.734877,0.00802028,0.0426338,0.593965,0.671586,0.656217,0.316789,0.025041,0,0.813568,1,0.0441951,0,0.000285622,0.00230054
0.178964,0.00798293,0.137981,0.862019,0.230885,0.207999,0.340456,0.0035837,0.104975,0.731997,0.0120502,0.0182407,0.593915,0.671573,0.719488,0.315083,0.0478206,0,0.816257,1,0.026674,0,4.98e+09,0.0024201
0.174413,0.00407901,0.091151,0.908849,0.127436,0.267971,0.389213,0.00698346,0.070218,0.734631,0.00225863,0.0848793,0.593954,0.671572,0.718723,0.314532,0.0279892,0,0.807573,1,0.0419058,0,0.000582461,0.00225333
0.187097,0.00428237,0.0942347,0.905765,0.0524738,0.105126,0.121529,0.0179052,0.0109471,0.733431,0,0.0234604,0.593964,0.671555,0.0986327,0.313064,0.013788,0,0.806667,1,0.0404499,0,0.000362867,0.00230799
0.185201,0.00465352,0.0996765,0.900323,0.191904,0.55213,0.597731,0.0149023,0.0676771,0.738454,0,0.0437923,0.593973,0.671572,0.634136,0.314538,0.0175679,0,0.81358,1,0.0381052,0,0.00016536,0.00229872
0.178754,0.00842247,0.141942,0.858058,0.131934,0.242458,0.318156,0.00529026,0.0835779,0.733029,0.017908,0.0583279,0.593926,0.671576,0.554222,0.315666,0.0406863,0,0.8099,1,0.0258293,0,0.000305627,0.0022708
0.185411,0.0192287,0.201107,0.798893,0.071964,0.419258,0.447963,0.00488019,0.154735,0.730144,0.010179,0.0225617,0.593893,0.671522,0.733957,0.302722,0.0537931,0,0.799842,1,0.0171251,0,0.000212424,0.00225944
0.172517,0.0150913,0.18466,0.81534,0.16042,0.352183,0.447642,0.00425419,0.148864,0.730964,0.00967369,0.0300031,0.593909,0.67157,0.768377,0.31341,0.0517834,0,0.802638,1,0.0189981,0,0.000114018,0.00226804
0.159538,0.0099317,0.154216,0.845784,0.0464768,0.0954866,0.131195,0.0028649,0.0618289,0.730386,0.0455951,0.028968,0.593874,0.671572,0.373857,0.314499,0.0711732,0,0.788126,1,0.0234914,0,0.000339624,0.00218384
0.179428,0.0041091,0.0916044,0.908396,0.104948,0.187122,0.198492,0.00459931,0.0744498,0.731279,0.00373855,0.0492991,0.593904,0.671575,0.758933,0.315043,0.0575079,0,0.811329,1,0.0416802,0,0.000362173,0.00228323
0.178669,0.00194968,0.0518487,0.948151,0.136432,0.327415,0.43001,0.0109312,0.0548985,0.735445,0,0.0249838,0.593972,0.671579,0.961794,0.315678,0.0197895,0,0.812826,1,0.074266,0,0.000121765,0.00234534
0.179386,0.00426048,0.0939021,0.906098,0.095952,0.225298,0.382419,0.00619969,0.0666178,0.73475,0.00298702,0.0157044,0.593968,0.671573,0.661627,0.314659,0.0270168,0,0.809661,1,0.0406011,0,0.000119337,0.0023791
0.156799,0.0222344,0.210358,0.789642,0.041979,0.0872351,0.157964,0.00175856,0.0897984,0.72692,0.0727176,0.0159792,0.593828,0.671572,0.401236,0.314458,0.0864583,0,0.777094,1,0.0161989,1,8.27e+09,0.00202852
0.148203,0.0347842,0.235299,0.764701,0.137931,0.255993,0.330388,0.0022239,0.201894,0.714505,0.00660153,0.0201952,0.593852,0.671572,0.822406,0.314676,0.0948062,0,0.791982,1,0.0140542,1,6.93e+08,0.00219644
0.120012,0.126572,0.321371,0.678629,0.292354,0.566755,0.604127,0.00400409,0.252298,0.762552,0.0117062,0.203706,0.593893,0.671591,0.754574,0.24045,0.0652857,1,0.525651,1,0.00917817,1,0.000276602,0.00200327
0.151532,0.0268095,0.221453,0.778547,0.148426,0.227439,0.370091,0.00200147,0.19848,0.71991,0,0.0688995,0.593868,0.671564,0.858797,0.308228,0.0833578,0,0.746586,1,0.0151855,1,0.000176577,0.00210757
0.156083,0.019754,0.20286,0.79714,0.118441,0.220753,0.265025,0.00352871,0.112883,0.728449,0.012946,0.0569161,0.593891,0.671571,0.526983,0.314208,0.0657727,0,0.797585,1,0.016943,0,0.000358011,0.00223486
0.183389,0.00837779,0.141549,0.858451,0.230885,0.259889,0.428389,0.00410174,0.114494,0.733233,0.00694219,0.0283363,0.593922,0.671573,0.766259,0.315029,0.0415689,0,0.804706,1,0.0259125,0,8.72e+09,0.00228274
0.181282,0.00150284,0.0416301,0.95837,0.134933,0.339913,0.375969,0.016229,0.0384018,0.735301,0,0.0316779,0.593968,0.671573,0.822665,0.314637,0.0157942,0,0.79739,1,0.0917101,0,0.000185943,0.00223773
0.168177,0.00645547,0.122411,0.877589,0.401799,0.471314,0.5942,0.0113176,0.0760371,0.738707,0.00792911,0.0449725,0.593939,0.671573,0.583028,0.315477,0.0198779,0,0.786043,1,0.0304857,0,6.45e+09,0.00219233
0.176099,0.00592017,0.116214,0.883786,0.0749625,0.068481,0.101886,0.00484446,0.0273096,0.732255,0.0820689,0.0312042,0.593921,0.671572,0.212437,0.314593,0.0401504,0,0.802978,1,0.0322763,0,0.000258332,0.00226844
0.165648,0.00965539,0.1521,0.8479,0.0854573,0.204885,0.258678,0.00501483,0.0747331,0.732394,0.0280168,0.0405464,0.593922,0.671575,0.461017,0.31517,0.0445826,0,0.802837,1,0.023866,0,0.000327251,0.00225897
0.171042,0.0105071,0.158388,0.841612,0.095952,0.207,0.306596,0.00421592,0.0893367,0.732425,0.0131716,0.0266219,0.593921,0.671559,0.531708,0.311618,0.0451088,0,0.790519,1,0.0227743,0,0.000183978,0.00219514
0.17416,0.00471644,0.100553,0.899447,0.148426,0.321957,0.449047,0.0131319,0.0449796,0.7372,0.00748858,0.0198792,0.593975,0.671582,0.413827,0.316985,0.015502,0,0.800034,1,0.0377478,0,0.000109045,0.00226507
0.17277,0.00374433,0.0857998,0.9142,0.0914543,0.270834,0.352989,0.00762955,0.065032,0.734254,0.0044062,0.0118451,0.59396,0.671586,0.705016,0.316578,0.0285516,0,0.784319,1,0.0446402,0,7.86e+09,0.00206239
0.176225,0.00568034,0.113311,0.886689,0.121439,0.200374,0.326209,0.00810383,0.0456334,0.735271,0.022999,0.0500707,0.593958,0.671571,0.372766,0.314313,0.0216392,0,0.808047,1,0.0331843,0,0.00031881,0.00227122
0.186086,0.00260353,0.0654231,0.934577,0.0209895,0.0915448,0.12493,0.00550191,0.0315562,0.732314,0.0271508,0.00637253,0.593953,0.6715,0.439431,0.312396,0.0381893,0,0.803444,1,0.0589712,0,0.000140498,0.00243083
0.186844,0.00820635,0.140007,0.859993,0.145427,0.262621,0.375465,0.00836602,0.0576092,0.73606,0.0233693,0.0447356,0.593956,0.671576,0.38319,0.315616,0.0237786,0,0.802989,1,0.0262336,0,0.000236477,0.00225683
0.183515,0.00487602,0.10279,0.89721,0.298351,0.189061,0.357391,0.00450677,0.0766958,0.733875,0.00915947,0.0169225,0.593925,0.67157,0.698836,0.313237,0.0332785,0,0.827985,1,0.0368709,0,4.3e+09,0.00255326
0.176141,0.00351909,0.0820812,0.917919,0.143928,0.240102,0.370329,0.00725414,0.0607439,0.734705,0,0.0990985,0.59395,0.671572,0.686988,0.31449,0.0254237,0,0.818486,1,0.0467641,0,0.00057772,0.00226878
0.187055,0.00457144,0.0984974,0.901503,0.0464768,0.122194,0.136058,0.0146221,0.0156024,0.733453,0,0.0246257,0.593971,0.671574,0.138818,0.314711,0.0175162,0,0.805048,1,0.0385936,0,0.000412013,0.00229307
0.191269,0.00427781,0.0941742,0.905826,0.2009,0.640967,0.707703,0.0184474,0.0634562,0.740334,0,0.0353978,0.593989,0.671579,0.627931,0.31669,0.0138816,0,0.824062,1,0.0404795,0,0.000141423,0.0023656
0.179807,0.00707192,0.129032,0.870968,0.131934,0.275986,0.341408,0.00502362,0.099759,0.732353,0.00496571,0.0503304,0.593919,0.671576,0.729894,0.31563,0.0453153,0,0.814383,1,0.0287536,0,0.000316035,0.00229251
0.188951,0.0179785,0.196662,0.803338,0.0824588,0.357002,0.453196,0.00579968,0.111648,0.735093,0.0187068,0.0226704,0.593948,0.671553,0.537628,0.309421,0.0383314,0,0.798861,1,0.017601,0,0.000183399,0.00225191
0.175677,0.0145414,0.18206,0.81794,0.172414,0.318565,0.436665,0.00364604,0.156505,0.729936,0.00731726,0.0237708,0.593903,0.671571,0.820122,0.314012,0.0558032,0,0.809426,1,0.0193268,0,9.96e+09,0.0023268
0.166828,0.0102655,0.156665,0.843335,0.041979,0.0827441,0.124257,0.00235841,0.0650672,0.72994,0.045095,0.0267637,0.593859,0.671567,0.387872,0.31407,0.0788611,0,0.799687,1,0.0230654,0,0.000434446,0.00225382
0.186339,0.00396411,0.089337,0.910663,0.112444,0.310247,0.317465,0.00705675,0.0802459,0.732912,0,0.0440042,0.59393,0.671576,0.839145,0.315179,0.0391453,0,0.825486,1,0.0427964,0,0.000338931,0.0023446
0.178248,0.00143809,0.040058,0.959942,0.137931,0.370731,0.473891,0.0225773,0.030036,0.736925,0.00273709,0.021796,0.593993,0.671604,0.665253,0.320371,0.00975795,0,0.813769,1,0.0950872,0,0.000111358,0.0023696
0.18086,0.00808506,0.138918,0.861082,0.263868,0.268792,0.422591,0.00450792,0.107996,0.733538,0.00768335,0.024362,0.593923,0.671572,0.735629,0.314493,0.0397357,0,0.800261,1,0.0264709,0,6.49e+09,0.0022602
0.181956,0.00180925,0.0487045,0.951295,0.142429,0.405269,0.442201,0.017927,0.0413832,0.736165,0,0.0318249,0.593978,0.671579,0.766604,0.315867,0.0144733,0,0.798238,1,0.0789003,0,0.000188603,0.00224225
0.165859,0.00901704,0.147021,0.852979,0.43928,0.428563,0.663731,0.00577703,0.134181,0.737125,0.00169072,0.0308667,0.59393,0.671572,0.867144,0.314626,0.0315325,0,0.789636,1,0.0248164,0,5.61e+09,0.00219503
0.176899,0.00718591,0.130211,0.869789,0.0824588,0.0681092,0.103705,0.00443925,0.0296072,0.732169,0.0909138,0.0234881,0.593919,0.671568,0.205605,0.313909,0.0427756,0,0.807176,1,0.0284636,0,0.000213928,0.00231161
0.167587,0.0106895,0.159688,0.840312,0.0824588,0.172027,0.268698,0.00272466,0.113477,0.729574,0.0152582,0.0395482,0.59388,0.671579,0.673628,0.315939,0.065234,0,0.798076,1,0.0225628,0,0.000380213,0.00223914
0.172601,0.0108992,0.161109,0.838891,0.106447,0.2105,0.27839,0.00628984,0.0614724,0.733984,0.0267756,0.0224214,0.593937,0.671569,0.355451,0.313622,0.0341153,0,0.79737,1,0.0223287,0,0.000152871,0.0022408
0.177616,0.005632,0.112707,0.887293,0.157421,0.39161,0.505218,0.0130971,0.0547389,0.737992,0.0055963,0.0213725,0.593976,0.671585,0.452002,0.317985,0.0167901,0,0.794,1,0.0333763,0,9.4e+09,0.0022144
0.165564,0.00413008,0.091937,0.908063,0.133433,0.355578,0.427275,0.0075379,0.0860051,0.734422,0,0.0137134,0.593947,0.671577,0.875535,0.315656,0.0312741,0,0.783431,1,0.041527,0,7.09e+09,0.00207416
0.179049,0.00497634,0.104181,0.895819,0.14093,0.219742,0.358837,0.00761951,0.0530693,0.73526,0.0161201,0.0511539,0.593954,0.671573,0.473551,0.314643,0.0229053,0,0.821701,1,0.0363465,0,0.000284003,0.00231593
0.189499,0.00229712,0.0592557,0.940744,0.0224888,0.0921398,0.135067,0.00560719,0.0311611,0.732466,0.0199403,0.0135961,0.593964,0.671579,0.477427,0.314768,0.0350028,0,0.813864,1,0.0651109,0,0.000134485,0.00245499
0.185706,0.00671627,0.125283,0.874717,0.145427,0.207648,0.383962,0.00589829,0.0646101,0.735425,0.0166821,0.0454527,0.593948,0.671578,0.482243,0.316202,0.0260947,0,0.801532,1,0.0297154,0,0.000222832,0.00225093
0.182335,0.00546968,0.110681,0.889319,0.385307,0.206864,0.343633,0.00613163,0.0619694,0.734576,0.0162895,0.014722,0.593925,0.671572,0.522741,0.314552,0.0279364,0,0.816488,1,0.0340464,0,2.79e+09,0.00246822
0.180608,0.00420212,0.0930254,0.906975,0.143928,0.215969,0.335941,0.00569913,0.0694253,0.733818,0.00107597,0.0941187,0.593938,0.671573,0.696435,0.314708,0.0320171,0,0.827879,1,0.0410111,0,0.000576332,0.00228789
0.193586,0.00177003,0.0478278,0.952172,0.0464768,0.104923,0.119521,0.0161859,0.0121257,0.73307,0,0.0279159,0.593963,0.671576,0.22325,0.31479,0.0154883,0,0.797257,1,0.0802888,0,0.000372928,0.00223797
0.190215,0.00409816,0.0914533,0.908547,0.233883,0.554656,0.641347,0.0166666,0.0608084,0.739275,0,0.0327665,0.593968,0.671556,0.618881,0.30817,0.0146858,0,0.819659,1,0.0417611,0,0.000112283,0.00235354
0.182377,0.00631138,0.120779,0.879221,0.130435,0.286294,0.379624,0.00531922,0.0978059,0.733185,0.00268656,0.0470413,0.593929,0.671573,0.763591,0.314719,0.0400055,0,0.820055,1,0.0309394,0,0.000293254,0.00231748
0.193376,0.0177459,0.195816,0.804184,0.089955,0.364182,0.436021,0.00674545,0.0982085,0.735948,0.0204974,0.0234262,0.593954,0.671575,0.473334,0.315257,0.0350187,0,0.801809,1,0.0176965,0,0.000180855,0.0022727
0.177068,0.0108792,0.160988,0.839012,0.206897,0.37395,0.473704,0.00456898,0.147372,0.731892,0.00350758,0.0261869,0.593914,0.671565,0.871834,0.31093,0.0484677,0,0.813709,1,0.0223505,0,9.69e+09,0.0023458
0.166407,0.0106384,0.159325,0.840675,0.0434783,0.0768212,0.117569,0.00278531,0.0518963,0.730788,0.0616329,0.023493,0.593883,0.671555,0.301408,0.312846,0.0663485,0,0.804307,1,0.0226216,0,0.000448438,0.00229073
0.184948,0.00288622,0.0708045,0.929196,0.128936,0.287884,0.298486,0.0088873,0.0593866,0.733561,0,0.0456859,0.593939,0.671569,0.774246,0.313863,0.0307687,0,0.826247,1,0.0544157,0,0.000314416,0.00234322
0.175677,0.00414193,0.0921184,0.907882,0.122939,0.290568,0.381146,0.0179753,0.0296662,0.736685,0.0178636,0.0160839,0.593994,0.671581,0.293887,0.315982,0.0120108,0,0.807093,1,0.0414421,0,0.000119684,0.00234831
0.180945,0.00347805,0.0813859,0.918614,0.0644678,0.197971,0.372296,0.00831538,0.0439631,0.735582,0.00302075,0.0155709,0.59402,0.671573,0.498256,0.314638,0.018275,0,0.809635,1,0.0471726,0,0.000136104,0.00238009
0.184695,0.0167218,0.191765,0.808235,0.14093,0.24619,0.440293,0.0031995,0.137855,0.73181,0.00858054,0.0253923,0.593914,0.671569,0.684188,0.313342,0.0487366,0,0.805041,1,0.0181502,1,8.96e+09,0.00229112
0.17711,0.0178982,0.19639,0.80361,0.0509745,0.0860491,0.118741,0.00258958,0.0617681,0.729344,0.0850966,0.00660892,0.593871,0.671579,0.291601,0.315703,0.0781736,0,0.796483,1,0.0176335,1,2.42e+09,0.0022439
0.220303,0.00762455,0.134565,0.865435,0.0509745,0.0848722,0.139286,0.00443283,0.0363415,0.732459,0.068394,0.0107159,0.59393,0.671583,0.246797,0.315654,0.039599,0,0.82165,1,0.0274341,0,0.000131826,0.00263949
0.226244,0.00732908,0.131662,0.868338,0.0734633,0.131433,0.205989,0.0045284,0.0538018,0.73265,0.0353973,0.0136767,0.593929,0.671576,0.379936,0.315088,0.0401027,0,0.825519,1,0.0281158,0,0.000104998,0.00259917
0.176942,0.00424589,0.0936905,0.90631,0.0569715,0.128252,0.148013,0.00587576,0.0407273,0.732257,0.0297062,0.0184906,0.593926,0.671517,0.400899,0.309716,0.0418387,0,0.794111,1,0.0407006,0,0.000108814,0.00221301
0.17652,0.00913924,0.148018,0.851982,0.104948,0.217794,0.271211,0.00396742,0.0995326,0.730839,0,0.0258638,0.593901,0.67157,0.635479,0.313952,0.0566947,0,0.777634,1,0.0246243,0,9.77e+07,0.00210903
0.179723,0.00584539,0.115337,0.884663,0.134933,0.302794,0.446137,0.0068772,0.0803614,0.735435,0.00607002,0.0241011,0.593957,0.671571,0.654379,0.314371,0.0279849,0,0.804215,1,0.0325501,0,0.000132404,0.00228855
0.193544,0.00093654,0.0273604,0.97264,0.0884558,0.25988,0.312439,0.0225058,0.0211576,0.73503,0,0.016823,0.593992,0.67158,0.659839,0.315431,0.0104356,0,0.791034,1,0.134801,0,7.54e+09,0.00218011
0.186928,0.00180104,0.0485534,0.951447,0.142429,0.221507,0.298138,0.0158117,0.0258146,0.734894,0,0.0178738,0.593959,0.671578,0.476942,0.315738,0.0133588,0,0.798368,1,0.0791647,0,7.86e+09,0.0022531
0.182209,0.00252784,0.0639115,0.936089,0.155922,0.235756,0.291884,0.00785209,0.0551822,0.733615,0.00467395,0.0102928,0.593937,0.671572,0.793053,0.314445,0.0292245,0,0.823789,1,0.0603636,0,2.71e+09,0.00269179
